Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,75,Before Scaling,NeuralNet,0.5096385542168675,0.060331257631586914,0.5082922636745937,0.061361525890751785,0.6026641118444397,0.35896062901871184,0.4190851564920276,0.35147963861005754,0.4573633792988742,0.13849964678903337
NC vs MCI,75,Before Scaling,KNN,0.6228915662650601,0.0465846142871836,0.6246942776711754,0.06688198526058868,0.28170003038855496,0.045193838375138705,0.8449170812745347,0.02637733022714326,0.36879874957638004,0.048697237678552746
NC vs MCI,75,Before Scaling,RandomForest,0.6987951807228916,0.04151821913280188,0.7400446121362763,0.0591089757797913,0.3954348565823976,0.07762683267540885,0.9008840081181149,0.05155074744392315,0.5043782772227932,0.06202983578947693
NC vs MCI,75,Before Scaling,SVM,0.6072289156626506,0.04138690129474136,0.7452152849749877,0.029818195368134272,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,75,Before Scaling,LogisticRegression,0.6975903614457831,0.04575934702369382,0.7411789598754635,0.03780479554023804,0.5822793963777569,0.1105090326793374,0.7795658880022229,0.04186615057739469,0.598109485094851,0.06314656778126725
NC vs MCI,75,After Scaling,NeuralNet,0.5289156626506024,0.06134529936434203,0.46560866448373817,0.0362117877588807,0.2629373358881556,0.22914353326970358,0.7104100424282537,0.2344317762352977,0.2544335196966776,0.1745577786679352
NC vs MCI,75,After Scaling,KNN,0.6240963855421687,0.06621027307968236,0.6159844590004246,0.06962657350736912,0.2298478570609718,0.13297093471222268,0.8834139445302762,0.03518183716989007,0.3118758080454428,0.14258829018913885
NC vs MCI,75,After Scaling,RandomForest,0.7060240963855422,0.04956627091740775,0.7470300990715301,0.05597880813399647,0.4038769245326622,0.08128077194252833,0.9066220557909729,0.06772637179035253,0.5165150774734694,0.06632766148516568
NC vs MCI,75,After Scaling,SVM,0.6987951807228916,0.04528101318787023,0.751930060866089,0.025205490469027012,0.5365014948621506,0.10866772727611272,0.8122583409402244,0.07299715934984956,0.5786612661454535,0.0657663418366337
NC vs MCI,75,After Scaling,LogisticRegression,0.6963855421686748,0.0435655053777459,0.7401638214120844,0.036859083112574145,0.5744680638123261,0.08529224830161072,0.7806539356800786,0.037551392230728425,0.5955999285267579,0.04948090516433114
NC vs AD,75,Before Scaling,NeuralNet,0.467459003258373,0.023282550637157035,0.47248168347474717,0.04626587826881987,0.4346198516930224,0.2139735792167797,0.5033874364426889,0.15696185554682585,0.41727885262655917,0.13570395224383308
NC vs AD,75,Before Scaling,KNN,0.632621120666631,0.049396479549475195,0.7075656442630337,0.05618330947753657,0.3933842580184044,0.07943976465346328,0.8570610793216336,0.026667395836629918,0.503077927031741,0.07880948401409751
NC vs AD,75,Before Scaling,RandomForest,0.8049356337802468,0.03137516791380695,0.8794832536446145,0.012620985323670572,0.7573706781023855,0.07899347618336801,0.8597291889110368,0.06621446582750387,0.787408247339667,0.029635077592518832
NC vs AD,75,Before Scaling,SVM,0.8245927033812297,0.030957449888374185,0.8926896993641673,0.025227404824108825,0.7832707942464041,0.055994576749842456,0.8662037228555718,0.053162790336845935,0.8085485936471791,0.04365895321748888
NC vs AD,75,Before Scaling,LogisticRegression,0.7925591581646281,0.011984204980998864,0.8575348978972295,0.01890413270196412,0.767993388725096,0.0403068167923936,0.8202674393107469,0.05890568214001921,0.7791453771154954,0.017165165134723423
NC vs AD,75,After Scaling,NeuralNet,0.5378184926018909,0.08340331863845261,0.554765227559473,0.1224749246316637,0.6172384526043062,0.09475587129013804,0.4670653389069992,0.1576263368387457,0.5594681453345901,0.0903577520668852
NC vs AD,75,After Scaling,KNN,0.6233267453661664,0.04691608214814913,0.6727794664044404,0.04827626394186258,0.3992204949522023,0.06754306161122091,0.8286082957864892,0.019788334120787992,0.5016437016727887,0.07220397735355492
NC vs AD,75,After Scaling,RandomForest,0.8059932695902997,0.01939524060480651,0.8817199780452046,0.007533540793302332,0.7948159564013223,0.06587878783372264,0.827597686727173,0.07907063656885001,0.7959782401798178,0.02077372377196768
NC vs AD,75,After Scaling,SVM,0.8245713370012286,0.034323741369972204,0.8900533888887461,0.017275525625952064,0.7866501384794068,0.07155897107084075,0.8663922236751407,0.06065320419661264,0.8100300772572687,0.03980308378061575
NC vs AD,75,After Scaling,LogisticRegression,0.7719085518935954,0.017993242243885207,0.8476946503091352,0.018495077016326213,0.7381153399446082,0.0414107044937733,0.806917830300071,0.058023315564780645,0.7555650672020071,0.012447202718503811
MCI vs AD,75,Before Scaling,NeuralNet,0.5233580128970623,0.07882499706121958,0.5259651888703364,0.046587701764425234,0.5511030817009078,0.31818499385730303,0.4861731944203835,0.26877249570150497,0.5255145771500719,0.24912362450181144
MCI vs AD,75,Before Scaling,KNN,0.6258259692699626,0.044198050129169685,0.6650600363929557,0.03567383405585097,0.6817489515315602,0.07269738514794852,0.5469743170754244,0.035587562649217155,0.6802366895991369,0.04976326091262387
MCI vs AD,75,Before Scaling,RandomForest,0.6965448610779396,0.035629442135488326,0.7277681062285039,0.02884146784479861,0.8754077745925573,0.0204900476397435,0.4431175954427816,0.07801512847855831,0.7724335963040098,0.024074734196566916
MCI vs AD,75,Before Scaling,SVM,0.720587532839742,0.03319288165136544,0.7783553640407332,0.03147628230479998,0.7942013722991984,0.032550424089761054,0.6186008562541457,0.10439104717591262,0.7699866672773011,0.020033778996439305
MCI vs AD,75,Before Scaling,LogisticRegression,0.688997691266619,0.035942353184481635,0.7517531936812493,0.021303418877446263,0.7467189573711313,0.05256383951552573,0.6085849635808569,0.0779397254739487,0.7380506032057909,0.03134716769103163
MCI vs AD,75,After Scaling,NeuralNet,0.5372263354828437,0.0613334980796624,0.46859208061185836,0.03558292106391503,0.6704195864521951,0.33896251218807216,0.3342422293029787,0.3465279325812817,0.5881182962304624,0.19597151972244273
MCI vs AD,75,After Scaling,KNN,0.6043149430777804,0.04468321183268725,0.624657251150191,0.046991070208776124,0.70024187768753,0.08787523704426198,0.4713319885372337,0.07105862123816528,0.6737325509430655,0.046811084978154914
MCI vs AD,75,After Scaling,RandomForest,0.6940928270042194,0.021975386767932134,0.7587723148399829,0.04283406379772956,0.8418271221532091,0.043823042138341706,0.48528839206711705,0.06014269503601026,0.763748069494752,0.014719923285238133
MCI vs AD,75,After Scaling,SVM,0.7244009234933524,0.03731492809952855,0.7880684287977069,0.037322659051242,0.7925347056325317,0.04895090314722721,0.6294857865236521,0.07350589730428672,0.7717132483305766,0.02833379490655994
MCI vs AD,75,After Scaling,LogisticRegression,0.6953427274898496,0.04211192849380916,0.7719000213980918,0.03429034077675674,0.7541163003663005,0.06465539593493805,0.6139825180593823,0.08073019427153888,0.7438480855280923,0.03479358137048365
